0,1,2,3,4,5,6,7,8,9
0.0542,0.3313,0.9822,0.1764,0.3115,0.3598,0.5726,0.8741,0.2169,0.9397
0.7083,0.861,0.5275,0.61,0.6722,0.4244,0.7104,0.6881,0.0622,0.5789
0.5322,0.4059,0.7311,0.9955,0.0733,0.2136,0.0908,0.7014,0.467,0.3288
0.7084,0.0709,0.789,0.3309,0.3871,0.9715,0.5268,0.1684,0.3708,0.6455
0.1266,0.5726,0.1151,0.7498,0.2433,0.0515,0.3391,0.8224,0.7535,0.0778
0.311,0.4444,0.2907,0.1562,0.1298,0.8548,0.2256,0.0566,0.208,0.1929
0.847,0.3945,0.3486,0.1688,0.8288,0.3796,0.2031,0.2249,0.8514,0.9889
0.5974,0.902,0.1409,0.7857,0.6265,0.0282,0.6799,0.5375,0.9869,0.6017
0.4424,0.3965,0.5404,0.5121,0.4321,0.5399,0.458,0.0755,0.2753,0.6635
0.6637,0.1834,0.133,0.0974,0.4397,0.6922,0.6306,0.9545,0.2836,0.9877
